4,1, A habitat designed to float like a balloon in aplanet’s upper atmosphere.,Aerostat,Aerostat,Singularity,Gatecrashers
4,1, After the Fall (used for reference dating).,AF,AF,AR,Slitheroid
4,1, Artificial General Intelligence. An AI that has cognitivefaculties comparable to that of a human or higher.Also known as “strong AI” (differentiating from morespecialized “weak AI”). See also “seed AI.”,AGI,AGI,Oort Cloud,BF
4,1," Artificial Intelligence. Generally used to refer to weakAIs; i.e., AIs that do not encompass (or in some cases, arecompletely outside of) the full range of human cognitiveabilities. AIs differ from AGIs in that they are usuallyspecialized and/or intentionally crippled/limited.",AI,AI,Transgenic,Farcasting
4,1," Someone who believes government isunnecessary, that power corrupts, and that people shouldcontrol their own lives through self-organized individualand collective action.",Anarchist,Anarchist,Entoptics,Reaper
4,1, A spider-like robotic synthmorph.,Arachnoid,Arachnoid,Jamming,Meme
4,1, A faction of techno-progressive scientiststhat promote responsible and ethical use of technology.,Argonauts,Argonauts,Circumlunar,Brinkers
4,1," Augmented Reality. Information from the mesh (universaldata network) that is overlaid on your real-worldsenses. AR data is usually entoptic (visual), but can alsobe audio, tactile, olfactory, kinesthetic (body awareness),emotional, or other types of input.",AR,AR,Exoplanet,Smart Animals
4,1, A person with psi abilities.,Async,Async,Iktomi,Lifelog
4,1," Astronomical Unit. The distance between the Earthand the Sun, equal to 8.3 light minutes, or about 150million kilometers.",AU,AU,Scorchers,Cyberbrain
4,1," The alliance of anarchists, Barsoomians,Extropians, scum, and Titanians.",Autonomists,Autonomists,Lost Generation,Exalts
4,1," A rural Martian, typically resentful ofhypercorp control.",Barsoomian,Barsoomian,Seed AI,AGI
4,1, An image or other sensory input thataffects the brain’s visual cortex and pattern recognitionabilities in such a way as to cause a glitch and possiblyexploit it and rewrite neural code.,Basilisk Hack,Basilisk Hack,Farcasting,Ghost-riding
4,1, A microgravity habitat made from a tunneledoutasteroid or moon.,Beehive,Beehive,Swarmanoid,Case
4,1, Before the Fall (used for reference dating).,BF,BF,Anarchist,Scum
4,1," An anti-technology movement that arguesfor strict regulation of nanofabrication, AI, uploading, forking,cognitive enhancements, and other disruptive technologies.",Bioconservative,Bioconservative,Ecto,Synths
4,1," A biological body, whether a flat, splicer,genetically engineered transhuman, or pod.",Biomorph,Biomorph,Farcasting,Meme
4,1," A service for leasing, selling, acquiring, orstoring a morph. AKA dollhouse, morgue.",Body Bank,Body Bank,Skinning,Exsurgent
4,1, Robots. AI-piloted synthetic shells.,Bots,Bots,Novacrab,VPNs
4,1, A type of autonomous monitoring deepspaceprobe meant to make contact with alien civilizations.,Bracewell Probe,Bracewell Probe,Neo-Hominids,Pods
4,1," Exiles who live on the fringes of the system, aswell as other isolated and well-hidden nooks and crannies.Also called isolates, fringers, drifters.",Brinkers,Brinkers,Iktomi,Case
4,1," A cheap, common, mass-produced synthetic shell.",Case,Case,Bioconservative,Farcasting
4,1," Transgenic, containing genetic traits fromother species.",Chimeric,Chimeric,Singularity Seeker,Muse
4,1, Orbiting Jupiter.,Circumjovian,Circumjovian,Spime,Basilisk Hack
4,1, Orbiting the Moon.,Circumlunar,Circumlunar,Jamming,Trojans
4,1, Orbiting the Sun.,Circumsolar,Circumsolar,Shell,Cornucopia Machine
4,1, Between the Earth and the Moon.,Cislunar,Cislunar,Neo-Hominids,Rusters
4,1, A species or group of organisms with commonfeatures. Used to refer to transhuman subspecies andmorph types.,Clade,Clade,Habtech,TITANs
